name	target_chr	target_start	target_end	target_name	target_type
240905_HPC_screen_guide_1	chr1	7945616	7945917	chr1:7945616-7945917	enh
240905_HPC_screen_guide_2	chr1	7945613	7945914	chr1:7945613-7945914	enh
240905_HPC_screen_guide_3	chr1	7945616	7945917	chr1:7945616-7945917	enh
240905_HPC_screen_guide_4	chr1	7945622	7945923	chr1:7945622-7945923	enh
240905_HPC_screen_guide_5	chr1	7945613	7945914	chr1:7945613-7945914	enh
240905_HPC_screen_guide_6	chr1	7945613	7945914	chr1:7945613-7945914	enh
240905_HPC_screen_guide_7	chr1	7945613	7945914	chr1:7945613-7945914	enh
240905_HPC_screen_guide_8	chr1	7945613	7945914	chr1:7945613-7945914	enh
240905_HPC_screen_guide_9	chr1	7945613	7945914	chr1:7945613-7945914	enh
240905_HPC_screen_guide_10	chr1	7945622	7945923	chr1:7945622-7945923	enh
240905_HPC_screen_guide_11	chr1	7945622	7945923	chr1:7945622-7945923	enh
240905_HPC_screen_guide_12	chr1	7945622	7945923	chr1:7945622-7945923	enh
240905_HPC_screen_guide_13	chr1	7945613	7945914	chr1:7945613-7945914	enh
240905_HPC_screen_guide_14	chr1	7945613	7945914	chr1:7945613-7945914	enh
240905_HPC_screen_guide_15	chr1	7945613	7945914	chr1:7945613-7945914	enh
240905_HPC_screen_guide_16	chr1	7962832	7963133	chr1:7962832-7963133	enh
240905_HPC_screen_guide_17	chr1	7962832	7963133	chr1:7962832-7963133	enh
240905_HPC_screen_guide_18	chr1	7962832	7963133	chr1:7962832-7963133	enh
240905_HPC_screen_guide_19	chr1	7962851	7963152	chr1:7962851-7963152	enh
240905_HPC_screen_guide_20	chr1	7962832	7963133	chr1:7962832-7963133	enh
240905_HPC_screen_guide_21	chr1	7962840	7963141	chr1:7962840-7963141	enh
240905_HPC_screen_guide_22	chr1	7962832	7963133	chr1:7962832-7963133	enh
240905_HPC_screen_guide_23	chr1	7962832	7963133	chr1:7962832-7963133	enh
240905_HPC_screen_guide_24	chr1	7962832	7963133	chr1:7962832-7963133	enh
240905_HPC_screen_guide_25	chr1	7962832	7963133	chr1:7962832-7963133	enh
240905_HPC_screen_guide_26	chr1	7962851	7963152	chr1:7962851-7963152	enh
240905_HPC_screen_guide_27	chr1	7962832	7963133	chr1:7962832-7963133	enh
240905_HPC_screen_guide_28	chr1	7962832	7963133	chr1:7962832-7963133	enh
240905_HPC_screen_guide_29	chr1	7962832	7963133	chr1:7962832-7963133	enh
240905_HPC_screen_guide_30	chr1	7962832	7963133	chr1:7962832-7963133	enh
240905_HPC_screen_guide_31	chr1	7973167	7973468	chr1:7973167-7973468	enh
240905_HPC_screen_guide_32	chr1	7973167	7973468	chr1:7973167-7973468	enh
240905_HPC_screen_guide_33	chr1	7973167	7973468	chr1:7973167-7973468	enh
240905_HPC_screen_guide_34	chr1	7973167	7973468	chr1:7973167-7973468	enh
240905_HPC_screen_guide_35	chr1	7973167	7973468	chr1:7973167-7973468	enh
240905_HPC_screen_guide_36	chr1	7973167	7973468	chr1:7973167-7973468	enh
240905_HPC_screen_guide_37	chr1	7973167	7973468	chr1:7973167-7973468	enh
240905_HPC_screen_guide_38	chr1	7973167	7973468	chr1:7973167-7973468	enh
240905_HPC_screen_guide_39	chr1	7973192	7973493	chr1:7973192-7973493	enh
240905_HPC_screen_guide_40	chr1	7973167	7973468	chr1:7973167-7973468	enh
240905_HPC_screen_guide_41	chr1	7973167	7973468	chr1:7973167-7973468	enh
240905_HPC_screen_guide_42	chr1	7973167	7973468	chr1:7973167-7973468	enh
240905_HPC_screen_guide_43	chr1	7973167	7973468	chr1:7973167-7973468	enh
240905_HPC_screen_guide_44	chr1	7973167	7973468	chr1:7973167-7973468	enh
240905_HPC_screen_guide_45	chr1	7973167	7973468	chr1:7973167-7973468	enh
240905_HPC_screen_guide_46	chr1	7974054	7974355	chr1:7974054-7974355	enh
240905_HPC_screen_guide_47	chr1	7974054	7974355	chr1:7974054-7974355	enh
240905_HPC_screen_guide_48	chr1	7974054	7974355	chr1:7974054-7974355	enh
240905_HPC_screen_guide_49	chr1	7974054	7974355	chr1:7974054-7974355	enh
240905_HPC_screen_guide_50	chr1	7974054	7974355	chr1:7974054-7974355	enh
240905_HPC_screen_guide_51	chr1	7974054	7974355	chr1:7974054-7974355	enh
240905_HPC_screen_guide_52	chr1	7974054	7974355	chr1:7974054-7974355	enh
240905_HPC_screen_guide_53	chr1	7974054	7974355	chr1:7974054-7974355	enh
240905_HPC_screen_guide_54	chr1	7974054	7974355	chr1:7974054-7974355	enh
240905_HPC_screen_guide_55	chr1	7974054	7974355	chr1:7974054-7974355	enh
240905_HPC_screen_guide_56	chr1	7974054	7974355	chr1:7974054-7974355	enh
240905_HPC_screen_guide_57	chr1	7974054	7974355	chr1:7974054-7974355	enh
240905_HPC_screen_guide_58	chr1	7974054	7974355	chr1:7974054-7974355	enh
240905_HPC_screen_guide_59	chr1	7974054	7974355	chr1:7974054-7974355	enh
240905_HPC_screen_guide_60	chr1	7974054	7974355	chr1:7974054-7974355	enh
240905_HPC_screen_guide_61	chr1	8021463	8021963	PARK7_TSS	tss_control
240905_HPC_screen_guide_62	chr1	8021463	8021963	PARK7_TSS	tss_control
240905_HPC_screen_guide_63	chr1	8021463	8021963	PARK7_TSS	tss_control
240905_HPC_screen_guide_64	chr1	8021463	8021963	PARK7_TSS	tss_control
240905_HPC_screen_guide_65	chr1	8021463	8021963	PARK7_TSS	tss_control
240905_HPC_screen_guide_66	chr1	8021463	8021963	PARK7_TSS	tss_control
240905_HPC_screen_guide_67	chr1	8021463	8021963	PARK7_TSS	tss_control
240905_HPC_screen_guide_68	chr1	8021463	8021963	PARK7_TSS	tss_control
240905_HPC_screen_guide_69	chr1	8021463	8021963	PARK7_TSS	tss_control
240905_HPC_screen_guide_70	chr1	8021463	8021963	PARK7_TSS	tss_control
240905_HPC_screen_guide_71	chr1	8021463	8021963	PARK7_TSS	tss_control
240905_HPC_screen_guide_72	chr1	8021463	8021963	PARK7_TSS	tss_control
